"Year"	"Age"	"Female"	"Male"	"Total"
"1977"	"0"	13071	16743	29814
"1977"	"1"	2667	2801	5468
"1977"	"5"	625	823	1448
"1977"	"10"	538	774	1312
"1977"	"15"	938	1478	2416
"1977"	"20"	1190	2187	3377
"1977"	"25"	1389	2244	3633
"1977"	"30"	1479	2342	3821
"1977"	"35"	1820	3093	4913
"1977"	"40"	2322	4420	6742
"1977"	"45"	3116	6635	9751
"1977"	"50"	4057	8665	12722
"1977"	"55"	4909	10264	15173
"1977"	"60"	6747	13207	19954
"1977"	"65"	8752	15299	24051
"1977"	"70"	10565	15735	26300
"1977"	"75"	35857	32135	67992
"1978"	"0"	12133	15274	27407
"1978"	"1"	2194	2473	4667
"1978"	"5"	584	773	1357
"1978"	"10"	492	753	1245
"1978"	"15"	871	1375	2246
"1978"	"20"	1076	1924	3000
"1978"	"25"	1241	1901	3142
"1978"	"30"	1427	2109	3536
"1978"	"35"	1771	2849	4620
"1978"	"40"	2235	4034	6269
"1978"	"45"	3050	6391	9441
"1978"	"50"	4127	8546	12673
"1978"	"55"	5065	10336	15401
"1978"	"60"	6423	12850	19273
"1978"	"65"	8962	15011	23973
"1978"	"70"	10686	15922	26608
"1978"	"75"	36263	32361	68624
"1979"	"0"	11025	14188	25213
"1979"	"1"	1826	2076	3902
"1979"	"5"	595	783	1378
"1979"	"10"	472	684	1156
"1979"	"15"	813	1292	2105
"1979"	"20"	983	1648	2631
"1979"	"25"	1173	1773	2946
"1979"	"30"	1350	2032	3382
"1979"	"35"	1723	2686	4409
"1979"	"40"	2189	3779	5968
"1979"	"45"	3017	6033	9050
"1979"	"50"	4043	8518	12561
"1979"	"55"	5000	10474	15474
"1979"	"60"	6340	12360	18700
"1979"	"65"	8924	15305	24229
"1979"	"70"	11280	16330	27610
"1979"	"75"	39360	34852	74212
"1980"	"0"	9988	13537	23525
"1980"	"1"	1836	2044	3880
"1980"	"5"	532	937	1469
"1980"	"10"	453	628	1081
"1980"	"15"	771	1248	2019
"1980"	"20"	912	1606	2518
"1980"	"25"	1120	1904	3024
"1980"	"30"	1362	2160	3522
"1980"	"35"	1670	2568	4238
"1980"	"40"	2137	3722	5859
"1980"	"45"	2837	6038	8875
"1980"	"50"	4093	8231	12324
"1980"	"55"	5261	10706	15967
"1980"	"60"	6444	12331	18775
"1980"	"65"	8934	15212	24146
"1980"	"70"	11534	16533	28067
"1980"	"75"	43709	38745	82454
