"Year"	"Age"	"Female"	"Male"	"Total"
"1970"	"0"	244674	263676	508350
"1970"	"1"	228241	231409	459650
"1970"	"2"	232250	237300	469550
"1970"	"3"	224500	233900	458400
"1970"	"4"	224800	227800	452600
"1970"	"5"	227922	231028	458950
"1970"	"6"	228100	233700	461800
"1970"	"7"	228500	234250	462750
"1970"	"8"	228450	231300	459750
"1970"	"9"	216700	227350	444050
"1970"	"10"	223300	223400	446700
"1970"	"11"	214650	227950	442600
"1970"	"12"	219268	222032	441300
"1970"	"13"	211350	218800	430150
"1970"	"14"	213000	216850	429850
"1970"	"15"	214500	215300	429800
"1970"	"16"	206750	208750	415500
"1970"	"17"	206850	208900	415750
"1970"	"18"	209850	215100	424950
"1970"	"19"	199350	206900	406250
"1970"	"20"	203650	210950	414600
"1970"	"21"	196846	201004	397850
"1970"	"22"	198193	191057	389250
"1970"	"23"	192250	186750	379000
"1970"	"24"	188750	179450	368200
"1970"	"25"	185100	181100	366200
"1970"	"26"	176950	172800	349750
"1970"	"27"	173300	163000	336300
"1970"	"28"	165850	162150	328000
"1970"	"29"	156900	162750	319650
"1970"	"30"	173650	168500	342150
"1970"	"31"	157850	155950	313800
"1970"	"32"	154100	152800	306900
"1970"	"33"	157800	155550	313350
"1970"	"34"	149900	150850	300750
"1970"	"35"	156600	158900	315500
"1970"	"36"	146750	144200	290950
"1970"	"37"	148900	151750	300650
"1970"	"38"	155250	161650	316900
"1970"	"39"	159000	161150	320150
"1970"	"40"	166750	166150	332900
"1970"	"41"	156200	151300	307500
"1970"	"42"	152750	156450	309200
"1970"	"43"	149600	148750	298350
"1970"	"44"	143750	146100	289850
"1970"	"45"	149250	145400	294650
"1970"	"46"	143600	136150	279750
"1970"	"47"	137500	141400	278900
"1970"	"48"	136300	131000	267300
"1970"	"49"	131650	129400	261050
"1970"	"50"	132900	128200	261100
"1970"	"51"	114950	110350	225300
"1970"	"52"	112300	111600	223900
"1970"	"53"	113300	104450	217750
"1970"	"54"	111450	107100	218550
