"Year"	"Age"	"Female"	"Male"	"Total"
"1979"	"0"	78817	102206	181023
"1979"	"1"	16431	17993	34424
"1979"	"5"	3672	5099	8771
"1979"	"10"	2863	4418	7281
"1979"	"15"	4528	8350	12878
"1979"	"20"	5473	11605	17078
"1979"	"25"	5616	11563	17179
"1979"	"30"	6336	11692	18028
"1979"	"35"	7684	13603	21287
"1979"	"40"	9214	16218	25432
"1979"	"45"	10552	18961	29513
"1979"	"50"	12489	21632	34121
"1979"	"55"	13665	23351	37016
"1979"	"60"	16552	25757	42309
"1979"	"65"	20429	29058	49487
"1979"	"70"	23847	30281	54128
"1979"	"75"	25006	26034	51040
"1979"	"80"	36177	27871	64048
"1980"	"0"	78494	101097	179591
"1980"	"1"	16701	17876	34577
"1980"	"5"	3687	5057	8744
"1980"	"10"	3070	4643	7713
"1980"	"15"	4687	9121	13808
"1980"	"20"	5449	12707	18156
"1980"	"25"	5852	12788	18640
"1980"	"30"	6542	12762	19304
"1980"	"35"	8050	14237	22287
"1980"	"40"	9662	17163	26825
"1980"	"45"	10898	19461	30359
"1980"	"50"	13135	23016	36151
"1980"	"55"	14682	25038	39720
"1980"	"60"	17464	26922	44386
"1980"	"65"	21852	31091	52943
"1980"	"70"	25836	32449	58285
"1980"	"75"	27616	29075	56691
"1980"	"80"	42431	32810	75241
"1981"	"0"	74784	97977	172761
"1981"	"1"	14558	15928	30486
"1981"	"5"	3559	4954	8513
"1981"	"10"	2899	4522	7421
"1981"	"15"	4642	9302	13944
"1981"	"20"	5547	13006	18553
"1981"	"25"	5878	13002	18880
"1981"	"30"	6679	13404	20083
"1981"	"35"	7811	13976	21787
"1981"	"40"	9416	17074	26490
"1981"	"45"	10811	19521	30332
"1981"	"50"	13487	23723	37210
"1981"	"55"	14975	25833	40808
"1981"	"60"	17539	27327	44866
"1981"	"65"	22321	31431	53752
"1981"	"70"	26252	33112	59364
"1981"	"75"	28077	29486	57563
"1981"	"80"	44795	35784	80579
"1982"	"0"	70761	92528	163289
"1982"	"1"	12836	14299	27135
"1982"	"5"	3385	4628	8013
"1982"	"10"	2803	4367	7170
"1982"	"15"	4385	9172	13557
"1982"	"20"	5417	13168	18585
"1982"	"25"	5779	13163	18942
"1982"	"30"	6557	13779	20336
"1982"	"35"	7535	14601	22136
"1982"	"40"	9227	17190	26417
"1982"	"45"	10569	19712	30281
"1982"	"50"	13267	24193	37460
"1982"	"55"	15094	26593	41687
"1982"	"60"	17696	27875	45571
"1982"	"65"	22079	31695	53774
"1982"	"70"	25768	33401	59169
"1982"	"75"	28447	30638	59085
"1982"	"80"	45756	36977	82733
