"Year"	"Age"	"Female"	"Male"	"Total"
"1980"	"0"	7988477	8181949	16170426
"1980"	"5"	7294114	7477679	14771793
"1980"	"10"	7096212	7156309	14252521
"1980"	"15"	6864066	6705370	13569436
"1980"	"20"	5840244	5677083	11517327
"1980"	"25"	4802051	4647438	9449489
"1980"	"30"	3886140	3803946	7690086
"1980"	"35"	3227384	3128215	6355599
"1980"	"40"	2870468	2855016	5725484
"1980"	"45"	2352516	2301672	4654188
"1980"	"50"	2074542	2035380	4109922
"1980"	"55"	1582229	1564670	3146899
"1980"	"60"	1254250	1183799	2438049
"1980"	"65"	1048485	984162	2032647
"1980"	"70"	695184	633195	1328379
"1980"	"75"	455776	381351	837127
"1980"	"80"	350983	239620	590603
"1991"	"0"	8141464	8379650	16521114
"1991"	"5"	8583891	8836268	17420159
"1991"	"10"	8461651	8585508	17047159
"1991"	"15"	7556982	7460490	15017472
"1991"	"20"	6852443	6712435	13564878
"1991"	"25"	6463119	6174959	12638078
"1991"	"30"	5656708	5406785	11063493
"1991"	"35"	4865939	4597824	9463763
"1991"	"40"	3973796	3860918	7834714
"1991"	"45"	3129903	2994785	6124688
"1991"	"50"	2638547	2526581	5165128
"1991"	"55"	2224630	2017494	4242124
"1991"	"60"	1921257	1715601	3636858
"1991"	"65"	1467717	1308343	2776060
"1991"	"70"	1017494	872424	1889918
"1991"	"75"	714480	575738	1290218
"1991"	"80"	670332	459319	1129651
"2000"	"0"	8048802	8326926	16375728
"2000"	"5"	8139974	8402353	16542327
"2000"	"10"	8570428	8777639	17348067
"2000"	"15"	8920685	9019130	17939815
"2000"	"20"	8093297	8048218	16141515
"2000"	"25"	7035337	6814328	13849665
"2000"	"30"	6664961	6363983	13028944
"2000"	"35"	6305654	5955875	12261529
"2000"	"40"	5430255	5116439	10546694
"2000"	"45"	4505123	4216418	8721541
"2000"	"50"	3646923	3415678	7062601
"2000"	"55"	2859471	2585244	5444715
"2000"	"60"	2447720	2153209	4600929
"2000"	"65"	1941781	1639325	3581106
"2000"	"70"	1512973	1229329	2742302
"2000"	"75"	999016	780571	1779587
"2000"	"80"	1100755	731350	1832105
"2010"	"0"	6779172	7016987	13796159
"2010"	"5"	7345231	7624144	14969375
"2010"	"10"	8441348	8725413	17166761
"2010"	"15"	8432002	8558868	16990870
"2010"	"20"	8614963	8630227	17245190
"2010"	"25"	8643418	8460995	17104413
"2010"	"30"	8026855	7717657	15744512
"2010"	"35"	7121916	6766665	13888581
"2010"	"40"	6688797	6320570	13009367
"2010"	"45"	6141338	5692013	11833351
"2010"	"50"	5305407	4834995	10140402
"2010"	"55"	4373875	3902344	8276219
"2010"	"60"	3468085	3041034	6509119
"2010"	"65"	2616745	2224065	4840810
"2010"	"70"	2074264	1667373	3741637
"2010"	"75"	1472930	1090518	2563448
"2010"	"80"	1802463	1133122	2935585
