"Year"	"Age"	"Female"	"Male"	"Total"
"1970"	"0"	15381	19082	34463
"1970"	"1"	9856	9866	19722
"1970"	"5"	2330	2711	5041
"1970"	"10"	939	1316	2255
"1970"	"15"	1103	1587	2690
"1970"	"20"	1161	2070	3231
"1970"	"25"	1102	1779	2881
"1970"	"30"	1229	1640	2869
"1970"	"35"	1638	1851	3489
"1970"	"40"	1706	1879	3585
"1970"	"45"	1710	2126	3836
"1970"	"50"	2157	2590	4747
"1970"	"55"	2305	2953	5258
"1970"	"60"	3169	3616	6785
"1970"	"65"	3373	3936	7309
"1970"	"70"	3998	4352	8350
"1970"	"75"	3048	3056	6104
"1970"	"80"	2936	2456	5392
"1970"	"85"	4231	2657	6888
"1971"	"0"	16302	20031	36333
"1971"	"1"	11181	11037	22218
"1971"	"5"	2481	2851	5332
"1971"	"10"	1077	1553	2630
"1971"	"15"	1266	1741	3007
"1971"	"20"	1336	2237	3573
"1971"	"25"	1255	1986	3241
"1971"	"30"	1365	1929	3294
"1971"	"35"	1830	1929	3759
"1971"	"40"	1831	2093	3924
"1971"	"45"	1879	2235	4114
"1971"	"50"	2312	2703	5015
"1971"	"55"	2311	3043	5354
"1971"	"60"	3291	3981	7272
"1971"	"65"	3307	3947	7254
"1971"	"70"	4205	4671	8876
"1971"	"75"	3093	3294	6387
"1971"	"80"	3009	2757	5766
"1971"	"85"	4594	2847	7441
"1972"	"0"	17931	22178	40109
"1972"	"1"	11884	11890	23774
"1972"	"5"	2644	3095	5739
"1972"	"10"	1149	1597	2746
"1972"	"15"	1560	2090	3650
"1972"	"20"	1569	2516	4085
"1972"	"25"	1384	2226	3610
"1972"	"30"	1593	2016	3609
"1972"	"35"	1907	2190	4097
"1972"	"40"	2050	2238	4288
"1972"	"45"	2049	2533	4582
"1972"	"50"	2547	3091	5638
"1972"	"55"	2708	3463	6171
"1972"	"60"	3682	4600	8282
"1972"	"65"	3726	4304	8030
"1972"	"70"	4944	5444	10388
"1972"	"75"	3580	3687	7267
"1972"	"80"	3330	2816	6146
"1972"	"85"	5104	3127	8231
"1973"	"0"	17644	21977	39621
