"Year"	"Age"	"Female"	"Male"	"Total"
"1973"	"0"	255578	264911	520489
"1973"	"1"	258740	266756	525496
"1973"	"2"	303346	311340	614686
"1973"	"3"	322032	327330	649362
"1973"	"4"	319742	326690	646432
"1973"	"5"	318506	326290	644796
"1973"	"6"	316351	320496	636847
"1973"	"7"	330378	336686	667064
"1973"	"8"	325985	334919	660904
"1973"	"9"	294264	293314	587578
"1973"	"10"	325596	334994	660590
"1973"	"11"	278570	282257	560827
"1973"	"12"	312721	329416	642137
"1973"	"13"	292176	290996	583172
"1973"	"14"	267559	264675	532234
"1973"	"15"	275579	253067	528646
"1973"	"16"	261347	237102	498449
"1973"	"17"	254057	232769	486826
"1973"	"18"	270868	251660	522528
"1973"	"19"	215066	188268	403334
"1973"	"20"	234760	194764	429524
"1973"	"21"	179614	168536	348150
"1973"	"22"	202968	180006	382974
"1973"	"23"	198972	175668	374640
"1973"	"24"	169429	150090	319519
"1973"	"25"	191547	166036	357583
"1973"	"26"	142001	129130	271131
"1973"	"27"	138171	128602	266773
"1973"	"28"	152748	137747	290495
"1973"	"29"	105124	99609	204733
"1973"	"30"	181057	157727	338784
"1973"	"31"	71396	75505	146901
"1973"	"32"	120318	111835	232153
"1973"	"33"	120641	120344	240985
"1973"	"34"	92854	87940	180794
"1973"	"35"	148308	122143	270451
"1973"	"36"	98662	86902	185564
"1973"	"37"	97988	89260	187248
"1973"	"38"	131545	113260	244805
"1973"	"39"	82504	77830	160334
"1973"	"40"	159568	139091	298659
"1973"	"41"	48280	51874	100154
"1973"	"42"	91396	91334	182730
"1973"	"43"	89957	89853	179810
"1973"	"44"	62979	63354	126333
"1973"	"45"	119093	101473	220566
"1973"	"46"	59585	57026	116611
"1973"	"47"	59517	56095	115612
"1973"	"48"	83376	74846	158222
"1973"	"49"	47401	49582	96983
"1973"	"50"	120627	100153	220780
"1973"	"51"	32211	37151	69362
"1973"	"52"	57300	59874	117174
"1973"	"53"	55826	58863	114689
"1973"	"54"	42080	44801	86881
"1973"	"55"	71628	63975	135603
"1973"	"56"	40226	42355	82581
"1973"	"57"	32144	34067	66211
"1973"	"58"	41876	40335	82211
"1973"	"59"	24453	27062	51515
