"Year"	"Age"	"Female"	"Male"	"Total"
1936	0	47284	56275	103559
1936	1	51405	51845	103250
1936	5	10146	10963	21109
1936	10	3889	4713	8602
1936	15	5388	5203	10591
1936	20	7331	7421	14752
1936	25	9054	9172	18226
1936	30	7593	8587	16180
1936	35	8328	9988	18316
1936	40	6472	7251	13723
1936	45	6129	7425	13554
1936	50	6035	6627	12662
1936	55	4826	5695	10521
1936	60	7920	8291	16211
1936	65	5339	5708	11047
1936	70	6335	5791	12126
1936	75	4318	4103	8421
1936	80	5042	3765	8807
1936	85	6604	4442	11046
1937	0	49768	58279	108047
1937	1	55594	55190	110784
1937	5	11242	11736	22978
1937	10	4261	5036	9297
1937	15	5697	5273	10970
1937	20	7376	7230	14606
1937	25	9046	9310	18356
1937	30	7514	8726	16240
1937	35	8571	10117	18688
1937	40	6648	7637	14285
1937	45	6470	7637	14107
1937	50	6231	7033	13264
1937	55	5138	6243	11381
1937	60	8509	8533	17042
1937	65	5859	6161	12020
1937	70	6865	6454	13319
1937	75	4706	4606	9312
1937	80	5422	4185	9607
1937	85	7070	5162	12232
1938	0	49036	57164	106200
1938	1	50544	49611	100155
1938	5	10259	10725	20984
1938	10	4275	5142	9417
1938	15	5736	5606	11342
1938	20	6859	6878	13737
1938	25	8240	8907	17147
1938	30	7159	8645	15804
1938	35	8216	10174	18390
1938	40	6431	7159	13590
1938	45	6079	7173	13252
1938	50	5861	6683	12544
1938	55	4998	6271	11269
1938	60	8051	8109	16160
1938	65	5536	5984	11520
1938	70	6778	6312	13090
1938	75	4696	4571	9267
1938	80	5379	4215	9594
1938	85	7330	5106	12436
1939	0	48853	57230	106083
1939	1	52144	51051	103195
1939	5	10233	10730	20963
1939	10	4134	4817	8951
1939	15	5814	5797	11611
1939	20	6687	6832	13519
1939	25	8188	8531	16719
1939	30	7305	8111	15416
1939	35	8574	10282	18856
1939	40	6494	7387	13881
1939	45	6257	7776	14033
1939	50	6157	6936	13093
1939	55	5433	6431	11864
1939	60	8641	8595	17236
1939	65	6223	6241	12464
1939	70	7164	6755	13919
1939	75	4984	4882	9866
1939	80	5889	4390	10279
1939	85	7984	5683	13667
1940	0	50169	59868	110037
1940	1	56156	56013	112169
1940	5	10925	11422	22347
1940	10	4484	5242	9726
1940	15	5991	5987	11978
1940	20	7067	6869	13936
1940	25	7782	8204	15986
1940	30	7066	8069	15135
1940	35	8210	9908	18118
1940	40	6585	7833	14418
1940	45	6190	7452	13642
1940	50	6024	6951	12975
1940	55	5253	6249	11502
1940	60	8393	8568	16961
1940	65	6082	6333	12415
1940	70	7134	6682	13816
1940	75	4906	4673	9579
1940	80	5663	4415	10078
1940	85	7887	5544	13431
1941	0	49231	58850	108081
1941	1	51251	50104	101355
1941	5	10437	11033	21470
1941	10	4548	5351	9899
1941	15	6310	6066	12376
1941	20	7139	6969	14108
1941	25	7682	7777	15459
1941	30	7060	7884	14944
1941	35	8298	9451	17749
1941	40	6688	7854	14542
1941	45	6464	7637	14101
1941	50	5941	6770	12711
1941	55	5380	6388	11768
1941	60	8494	8624	17118
1941	65	6185	6361	12546
1941	70	7066	6650	13716
1941	75	4977	4833	9810
1941	80	5563	4418	9981
1941	85	8101	5638	13739
1942	0	50999	60101	111100
1942	1	58260	56859	115119
1942	5	11998	12504	24502
1942	10	4752	5539	10291
1942	15	6345	6255	12600
1942	20	7092	7333	14425
1942	25	7283	7528	14811
1942	30	6893	7968	14861
1942	35	8189	9748	17937
1942	40	6826	8127	14953
1942	45	6369	7818	14187
1942	50	6034	6987	13021
1942	55	5506	6610	12116
1942	60	8758	9035	17793
1942	65	6352	6804	13156
1942	70	7289	7026	14315
1942	75	5179	4992	10171
1942	80	5802	4642	10444
1942	85	8296	6019	14315
1943	0	51357	61498	112855
1943	1	57788	57686	115474
1943	5	11825	12476	24301
1943	10	4700	5508	10208
1943	15	6226	6136	12362
1943	20	7067	7077	14144
1943	25	7129	7328	14457
1943	30	6900	7487	14387
1943	35	8050	9561	17611
1943	40	6540	8024	14564
1943	45	6428	8013	14441
1943	50	5840	6959	12799
1943	55	5605	6938	12543
1943	60	8924	9074	17998
1943	65	6682	6964	13646
1943	70	7506	7320	14826
1943	75	5454	5352	10806
1943	80	6178	5004	11182
1943	85	9103	6748	15851
1944	0	49699	59001	108700
1944	1	51042	50498	101540
1944	5	9968	10696	20664
1944	10	4420	5149	9569
1944	15	6067	6027	12094
1944	20	6941	6785	13726
1944	25	6819	6615	13434
1944	30	6465	7001	13466
1944	35	7648	8732	16380
1944	40	6461	7510	13971
1944	45	6209	7628	13837
1944	50	5827	6419	12246
1944	55	5418	6655	12073
1944	60	8533	8887	17420
1944	65	6752	7081	13833
1944	70	7614	7395	15009
1944	75	5464	5393	10857
1944	80	6361	5014	11375
1944	85	9491	6838	16329
1945	0	48889	58883	107772
1945	1	46875	46508	93383
1945	5	9522	10022	19544
1945	10	4203	5009	9212
1945	15	6002	6031	12033
1945	20	6981	7021	14002
1945	25	6602	6902	13504
1945	30	6194	6723	12917
1945	35	7850	9007	16857
1945	40	6010	7228	13238
1945	45	6623	8314	14937
1945	50	5454	6450	11904
1945	55	5233	6615	11848
1945	60	8328	8671	16999
1945	65	6720	7080	13800
1945	70	7338	6874	14212
1945	75	5399	5344	10743
