"Year"	"Age"	"Female"	"Male"	"Total"
"1990"	"0"	5079450	5177020	10256470
"1990"	"5"	5248350	5365680	10614030
"1990"	"10"	5187870	5250440	10438310
"1990"	"15"	4939060	4766050	9705110
"1990"	"20"	4118420	3717030	7835450
"1990"	"25"	3372840	3043250	6416090
"1990"	"30"	2827210	2577400	5404610
"1990"	"35"	2378300	2214630	4592930
"1990"	"40"	1811790	1709530	3521320
"1990"	"45"	1527550	1457490	2985040
"1990"	"50"	1241140	1170590	2411730
"1990"	"55"	978950	928280	1907230
"1990"	"60"	849040	772790	1621830
"1990"	"65"	617190	571720	1188910
"1990"	"70"	436180	393430	829610
"1990"	"75"	314900	281980	596880
"1990"	"80"	433020	340280	773300
"1990"	"UNK"	43450	40120	83570
"2000"	"0"	5305420	5485973	10791393
"2000"	"5"	5608539	5766654	11375193
"2000"	"10"	5381312	5502313	10883625
"2000"	"15"	5144779	4977870	10122649
"2000"	"20"	4836237	4301558	9137795
"2000"	"25"	4348939	3874453	8223392
"2000"	"30"	3803652	3409385	7213037
"2000"	"35"	3384759	3046773	6431532
"2000"	"40"	2745265	2524690	5269955
"2000"	"45"	2152159	1979212	4131371
"2000"	"50"	1778496	1662761	3441257
"2000"	"55"	1353719	1256931	2610650
"2000"	"60"	1173956	1071807	2245763
"2000"	"65"	900452	793785	1694237
"2000"	"70"	674937	603208	1278145
"2000"	"75"	466130	419498	885628
"2000"	"80"	557178	430508	987686
"2000"	"UNK"	140673	150886	291559
"2010"	"0"	5205075	5370899	10575974
"2010"	"5"	5450919	5604314	11055233
"2010"	"10"	5395249	5572124	10967373
"2010"	"15"	5521318	5528566	11049884
"2010"	"20"	5112857	4788933	9901790
"2010"	"25"	4577964	4140332	8718296
"2010"	"30"	4427493	3985937	8413430
"2010"	"35"	4340039	3923383	8263422
"2010"	"40"	3714964	3365183	7080147
"2010"	"45"	3179451	2882083	6061534
"2010"	"50"	2746780	2478521	5225301
"2010"	"55"	2106967	1938607	4045574
"2010"	"60"	1699430	1537644	3237074
"2010"	"65"	1281896	1152635	2434531
"2010"	"70"	1043831	931293	1975124
"2010"	"75"	700694	607073	1307767
"2010"	"80"	893759	682633	1576392
"2010"	"UNK"	34376	36917	71293
