"Year"	"Age"	"Female"	"Male"	"Total"
"1970"	"0"	14768	17717	32485
"1970"	"1"	11793	11972	23765
"1970"	"5"	1872	2071	3943
"1970"	"10"	919	1068	1987
"1970"	"15"	1100	1130	2230
"1970"	"20"	1229	1317	2546
"1970"	"25"	1192	1223	2415
"1970"	"30"	1295	1253	2548
"1970"	"35"	1447	1381	2828
"1970"	"40"	1253	1438	2691
"1970"	"45"	1279	1605	2884
"1970"	"50"	1088	1640	2728
"1970"	"55"	1286	1705	2991
"1970"	"60"	1722	2202	3924
"1970"	"65"	1801	2308	4109
"1970"	"70"	1990	2218	4208
"1970"	"75"	1862	1858	3720
"1970"	"80"	1973	1590	3563
"1970"	"85"	3952	2525	6477
"1971"	"0"	12518	15047	27565
"1971"	"1"	6127	6124	12251
"1971"	"5"	1145	1369	2514
"1971"	"10"	673	735	1408
"1971"	"15"	937	980	1917
"1971"	"20"	1040	1224	2264
"1971"	"25"	1052	1097	2149
"1971"	"30"	1003	1021	2024
"1971"	"35"	1229	1224	2453
"1971"	"40"	1077	1225	2302
"1971"	"45"	1104	1422	2526
"1971"	"50"	1048	1433	2481
"1971"	"55"	1118	1496	2614
"1971"	"60"	1487	2031	3518
"1971"	"65"	1638	2006	3644
"1971"	"70"	1709	2082	3791
"1971"	"75"	1574	1651	3225
"1971"	"80"	1698	1400	3098
"1971"	"85"	3360	2231	5591
"1972"	"0"	13852	16306	30158
"1972"	"1"	7572	7534	15106
"1972"	"5"	1146	1270	2416
"1972"	"10"	667	769	1436
"1972"	"15"	876	901	1777
"1972"	"20"	1028	988	2016
"1972"	"25"	986	926	1912
"1972"	"30"	981	969	1950
"1972"	"35"	1135	1074	2209
"1972"	"40"	1092	1209	2301
"1972"	"45"	1104	1234	2338
"1972"	"50"	1002	1382	2384
"1972"	"55"	1155	1412	2567
"1972"	"60"	1561	2013	3574
"1972"	"65"	1723	1964	3687
"1972"	"70"	1911	2146	4057
"1972"	"75"	1611	1682	3293
"1972"	"80"	1836	1572	3408
"1972"	"85"	3586	2393	5979
"1973"	"0"	14846	17476	32322
"1973"	"1"	9291	9369	18660
"1973"	"5"	1528	1660	3188
"1973"	"10"	821	920	1741
"1973"	"15"	945	1086	2031
"1973"	"20"	1118	1227	2345
"1973"	"25"	1091	1152	2243
"1973"	"30"	1021	1134	2155
"1973"	"35"	1324	1260	2584
"1973"	"40"	1210	1405	2615
"1973"	"45"	1211	1504	2715
"1973"	"50"	1151	1566	2717
"1973"	"55"	1211	1597	2808
"1973"	"60"	1660	2050	3710
"1973"	"65"	1667	2146	3813
"1973"	"70"	2127	2401	4528
"1973"	"75"	1785	1906	3691
"1973"	"80"	2057	1759	3816
"1973"	"85"	4301	2860	7161
"1974"	"0"	NA	NA	NA
"1974"	"1"	NA	NA	NA
"1974"	"5"	NA	NA	NA
"1974"	"10"	NA	NA	NA
"1974"	"15"	NA	NA	NA
"1974"	"20"	NA	NA	NA
"1974"	"25"	NA	NA	NA
"1974"	"30"	NA	NA	NA
"1974"	"35"	NA	NA	NA
"1974"	"40"	NA	NA	NA
"1974"	"45"	NA	NA	NA
"1974"	"50"	NA	NA	NA
"1974"	"55"	NA	NA	NA
"1974"	"60"	NA	NA	NA
"1974"	"65"	NA	NA	NA
"1974"	"70"	NA	NA	NA
"1974"	"75"	NA	NA	NA
"1974"	"80"	NA	NA	NA
"1974"	"85"	NA	NA	NA
"1975"	"0"	12742	14964	27706
"1975"	"1"	7235	7226	14461
"1975"	"5"	1285	1312	2597
"1975"	"10"	680	811	1491
"1975"	"15"	819	991	1810
"1975"	"20"	1012	1033	2045
"1975"	"25"	934	964	1898
"1975"	"30"	851	890	1741
"1975"	"35"	1106	1090	2196
"1975"	"40"	1024	1144	2168
"1975"	"45"	1106	1394	2500
"1975"	"50"	1063	1417	2480
"1975"	"55"	1164	1547	2711
"1975"	"60"	1565	1976	3541
"1975"	"65"	1685	2124	3809
"1975"	"70"	1811	2205	4016
"1975"	"75"	1862	2079	3941
"1975"	"80"	1811	1653	3464
"1975"	"85"	3908	2554	6462
"1976"	"0"	9903	11599	21502
"1976"	"1"	5141	5184	10325
"1976"	"5"	835	913	1748
"1976"	"10"	469	602	1071
"1976"	"15"	619	676	1295
"1976"	"20"	721	842	1563
"1976"	"25"	718	740	1458
"1976"	"30"	673	666	1339
"1976"	"35"	859	750	1609
"1976"	"40"	805	824	1629
"1976"	"45"	832	1086	1918
"1976"	"50"	807	1014	1821
"1976"	"55"	914	1226	2140
"1976"	"60"	1179	1501	2680
"1976"	"65"	1293	1622	2915
"1976"	"70"	1424	1597	3021
"1976"	"75"	1554	1708	3262
"1976"	"80"	1460	1207	2667
"1976"	"85"	3335	2160	5495
"1977"	"0"	11043	13188	24231
"1977"	"1"	6240	6327	12567
"1977"	"5"	993	1158	2151
"1977"	"10"	569	710	1279
"1977"	"15"	757	888	1645
"1977"	"20"	880	1036	1916
"1977"	"25"	797	895	1692
"1977"	"30"	785	826	1611
"1977"	"35"	990	915	1905
"1977"	"40"	845	974	1819
"1977"	"45"	978	1283	2261
"1977"	"50"	1029	1275	2304
"1977"	"55"	1048	1500	2548
"1977"	"60"	1309	1691	3000
"1977"	"65"	1596	1910	3506
"1977"	"70"	1694	1884	3578
"1977"	"75"	1864	2006	3870
"1977"	"80"	1699	1345	3044
"1977"	"85"	3734	2555	6289
"1978"	"0"	11285	13160	24445
"1978"	"1"	5664	5842	11506
"1978"	"5"	982	1131	2113
"1978"	"10"	638	802	1440
"1978"	"15"	808	987	1795
"1978"	"20"	993	1138	2131
"1978"	"25"	913	1004	1917
"1978"	"30"	874	899	1773
"1978"	"35"	1064	997	2061
"1978"	"40"	973	1067	2040
"1978"	"45"	1019	1340	2359
"1978"	"50"	1044	1411	2455
"1978"	"55"	1180	1509	2689
"1978"	"60"	1536	1847	3383
"1978"	"65"	1683	2067	3750
"1978"	"70"	1768	2074	3842
"1978"	"75"	1938	2201	4139
"1978"	"80"	1775	1447	3222
"1978"	"85"	3801	2497	6298
"1979"	"0"	11245	13073	24318
"1979"	"1"	7689	7565	15254
"1979"	"5"	1308	1357	2665
"1979"	"10"	665	790	1455
"1979"	"15"	853	1086	1939
"1979"	"20"	950	1217	2167
"1979"	"25"	897	1012	1909
"1979"	"30"	836	956	1792
"1979"	"35"	1062	1034	2096
