"Year"	"Age"	"Female"	"Male"	"Total"
"1972"	"0"	236169	239723	475892
"1972"	"1"	209181	215355	424536
"1972"	"2"	210162	211498	421660
"1972"	"3"	215468	214097	429565
"1972"	"4"	224688	229196	453884
"1972"	"5"	211566	216949	428515
"1972"	"6"	213131	216611	429742
"1972"	"7"	205367	211990	417357
"1972"	"8"	200640	202937	403577
"1972"	"9"	171682	176029	347711
"1972"	"10"	176935	183394	360329
"1972"	"11"	161453	172971	334424
"1972"	"12"	183386	202069	385455
"1972"	"13"	156399	167727	324126
"1972"	"14"	152740	159939	312679
"1972"	"15"	147398	148155	295553
"1972"	"16"	142606	143606	286212
"1972"	"17"	139838	143279	283117
"1972"	"18"	147376	148213	295589
"1972"	"19"	122514	133278	255792
"1972"	"20"	134732	123266	257998
"1972"	"21"	106431	111120	217551
"1972"	"22"	124040	122809	246849
"1972"	"23"	106901	109524	216425
"1972"	"24"	107808	106415	214223
"1972"	"25"	108891	102444	211335
"1972"	"26"	96616	93429	190045
"1972"	"27"	89254	89955	179209
"1972"	"28"	102531	94694	197225
"1972"	"29"	75260	78438	153698
"1972"	"30"	107364	94770	202134
"1972"	"31"	57913	64410	122323
"1972"	"32"	88267	92310	180577
"1972"	"33"	63862	71689	135551
"1972"	"34"	64808	67949	132757
"1972"	"35"	86858	75396	162254
"1972"	"36"	73850	73081	146931
"1972"	"37"	63090	64591	127681
"1972"	"38"	89270	78793	168063
"1972"	"39"	61041	64646	125687
"1972"	"40"	96820	80399	177219
"1972"	"41"	40834	49835	90669
"1972"	"42"	70038	77511	147549
"1972"	"43"	45771	49694	95465
"1972"	"44"	44991	50369	95360
"1972"	"45"	73886	62528	136414
"1972"	"46"	44307	46519	90826
"1972"	"47"	37416	40065	77481
"1972"	"48"	57533	53864	111397
"1972"	"49"	33628	39235	72863
"1972"	"50"	72115	57274	129389
"1972"	"51"	24166	30936	55102
"1972"	"52"	41546	45850	87396
"1972"	"53"	25883	30108	55991
"1972"	"54"	29963	31572	61535
"1972"	"55"	42993	37561	80554
"1972"	"56"	30495	32593	63088
"1972"	"57"	22118	24755	46873
"1972"	"58"	35875	32187	68062
"1972"	"59"	19508	22508	42016
"1972"	"60"	67758	48094	115852
"1972"	"61"	14936	18324	33260
"1972"	"62"	25778	29495	55273
"1972"	"63"	16244	19105	35349
"1972"	"64"	16835	18564	35399
"1972"	"65"	38282	27524	65806
"1972"	"66"	14620	16652	31272
"1972"	"67"	13322	15561	28883
"1972"	"68"	21949	18465	40414
"1972"	"69"	10065	10754	20819
"1972"	"70"	40751	26448	67199
"1972"	"71"	8366	10315	18681
"1972"	"72"	15946	17087	33033
"1972"	"73"	6192	6718	12910
"1972"	"74"	6143	5937	12080
"1972"	"75"	19489	12757	32246
"1972"	"76"	6379	5957	12336
"1972"	"77"	4281	4848	9129
"1972"	"78"	9164	7734	16898
"1972"	"79"	3672	3709	7381
"1972"	"80"	22045	13766	35811
"1972"	"81"	2426	2669	5095
"1972"	"82"	4356	3679	8035
"1972"	"83"	2313	2086	4399
"1972"	"84"	2530	2258	4788
"1972"	"85"	7466	4587	12053
"1972"	"86"	2329	1922	4251
"1972"	"87"	1689	1498	3187
"1972"	"88"	1983	1499	3482
"1972"	"89"	1663	1421	3084
"1972"	"90"	6583	4460	11043
"1972"	"91"	715	684	1399
"1972"	"92"	1086	835	1921
"1972"	"93"	515	395	910
"1972"	"94"	414	319	733
"1972"	"95"	2045	1398	3443
"1972"	"96"	602	440	1042
"1972"	"97"	324	315	639
"1972"	"98"	995	673	1668
"1972"	"99"	4055	3470	7525
"1981"	"0"	1210571	1234979	2445550
"1981"	"5"	1193068	1214235	2407303
"1981"	"10"	1070519	1110214	2180733
"1981"	"15"	933042	934451	1867493
"1981"	"20"	812664	790892	1603556
"1981"	"25"	654503	624568	1279071
"1981"	"30"	511815	510048	1021863
"1981"	"35"	453975	431098	885073
"1981"	"40"	367079	374124	741203
"1981"	"45"	324603	319951	644554
"1981"	"50"	264819	268384	533203
"1981"	"55"	197525	202481	400006
"1981"	"60"	170366	166359	336725
"1981"	"65"	123015	114213	237228
"1981"	"70"	94954	86335	181289
"1981"	"75"	64389	57392	121781
"1981"	"80"	82203	65624	147827
"1997"	"0"	271894	278671	550565
"1997"	"1"	259023	268706	527729
"1997"	"2"	259837	268504	528341
"1997"	"3"	269115	273972	543087
"1997"	"4"	290074	299957	590031
"1997"	"5"	286424	295057	581481
"1997"	"6"	280814	286087	566901
"1997"	"7"	262440	273037	535477
"1997"	"8"	279225	285885	565110
"1997"	"9"	253945	259739	513684
"1997"	"10"	271714	280467	552181
"1997"	"11"	249770	260209	509979
"1997"	"12"	278324	294170	572494
"1997"	"13"	257479	266514	523993
"1997"	"14"	246092	248231	494323
"1997"	"15"	239587	234374	473961
"1997"	"16"	239609	237189	476798
"1997"	"17"	249500	254590	504090
"1997"	"18"	244872	247535	492407
"1997"	"19"	214343	212572	426915
"1997"	"20"	233116	220343	453459
"1997"	"21"	196361	188001	384362
"1997"	"22"	225033	216687	441720
"1997"	"23"	229614	218369	447983
"1997"	"24"	204087	192517	396604
"1997"	"25"	202007	188616	390623
"1997"	"26"	185890	171184	357074
"1997"	"27"	187539	179996	367535
"1997"	"28"	190842	179002	369844
"1997"	"29"	159791	153105	312896
"1997"	"30"	191405	177547	368952
"1997"	"31"	123387	118186	241573
"1997"	"32"	173143	165960	339103
"1997"	"33"	164769	167066	331835
"1997"	"34"	135351	132141	267492
"1997"	"35"	147856	135400	283256
"1997"	"36"	132045	119916	251961
"1997"	"37"	127117	118498	245615
"1997"	"38"	148980	136340	285320
"1997"	"39"	114880	112737	227617
"1997"	"40"	140704	130707	271411
"1997"	"41"	79993	79907	159900
"1997"	"42"	123039	126563	249602
"1997"	"43"	108489	110334	218823
"1997"	"44"	79337	77958	157295
"1997"	"45"	108264	97529	205793
"1997"	"46"	82300	80946	163246
"1997"	"47"	81289	81666	162955
"1997"	"48"	96414	92331	188745
"1997"	"49"	69425	72259	141684
"1997"	"50"	97140	87164	184304
"1997"	"51"	49721	53094	102815
"1997"	"52"	76244	79042	155286
"1997"	"53"	73781	77658	151439
"1997"	"54"	62114	61224	123338
"1997"	"55"	71143	65106	136249
"1997"	"56"	59610	59116	118726
"1997"	"57"	50800	52240	103040
"1997"	"58"	62996	60152	123148
"1997"	"59"	43614	48885	92499
"1997"	"60"	85857	72799	158656
"1997"	"61"	31754	35951	67705
"1997"	"62"	51094	53285	104379
"1997"	"63"	50885	54972	105857
"1997"	"64"	39720	41251	80971
"1997"	"65"	60602	51300	111902
"1997"	"66"	32233	34865	67098
"1997"	"67"	31236	32831	64067
"1997"	"68"	39393	34649	74042
"1997"	"69"	22280	23911	46191
"1997"	"70"	50913	40501	91414
"1997"	"71"	16712	19032	35744
"1997"	"72"	29520	28814	58334
"1997"	"73"	23797	25946	49743
"1997"	"74"	17600	18209	35809
"1997"	"75"	31739	25579	57318
"1997"	"76"	15899	15487	31386
"1997"	"77"	12621	13256	25877
"1997"	"78"	20635	18269	38904
"1997"	"79"	11075	10911	21986
"1997"	"80"	27676	18689	46365
"1997"	"81"	7825	7694	15519
"1997"	"82"	11727	9623	21350
"1997"	"83"	9979	9470	19449
"1997"	"84"	7348	6667	14015
"1997"	"85"	12900	8515	21415
"1997"	"86"	6197	4717	10914
"1997"	"87"	5564	4308	9872
"1997"	"88"	5326	3988	9314
"1997"	"89"	4316	3430	7746
"1997"	"90"	7652	4982	12634
"1997"	"91"	1761	1689	3450
"1997"	"92"	2680	2028	4708
"1997"	"93"	2403	2002	4405
"1997"	"94"	933	743	1676
"1997"	"95"	2425	1449	3874
"1997"	"96"	1043	640	1683
"1997"	"97"	662	449	1111
"1997"	"98"	4288	2516	6804
"1997"	"99"	NA	NA	NA
"2003"	"0"	246135	254537	500672
"2003"	"1"	253897	266932	520829
"2003"	"2"	284131	296194	580325
"2003"	"3"	282160	289967	572127
"2003"	"4"	269049	281618	550667
"2003"	"5"	256147	267497	523644
"2003"	"6"	248647	255985	504632
"2003"	"7"	271122	283054	554176
"2003"	"8"	276266	286252	562518
"2003"	"9"	264735	274223	538958
"2003"	"10"	287939	300259	588198
"2003"	"11"	277329	287580	564909
"2003"	"12"	302076	317015	619091
"2003"	"13"	287587	297172	584759
"2003"	"14"	290719	301309	592028
"2003"	"15"	292652	292915	585567
"2003"	"16"	266288	265982	532270
"2003"	"17"	264844	272516	537360
"2003"	"18"	268881	280133	549014
"2003"	"19"	264746	261828	526574
"2003"	"20"	279485	275407	554892
"2003"	"21"	231683	225285	456968
"2003"	"22"	258250	258935	517185
"2003"	"23"	252629	247747	500376
"2003"	"24"	253761	248372	502133
"2003"	"25"	251406	244516	495922
"2003"	"26"	228572	217669	446241
"2003"	"27"	245121	242206	487327
"2003"	"28"	228449	222238	450687
"2003"	"29"	210685	201003	411688
"2003"	"30"	254318	249598	503916
"2003"	"31"	186650	175299	361949
"2003"	"32"	219031	209114	428145
"2003"	"33"	206933	200112	407045
"2003"	"34"	192103	181533	373636
"2003"	"35"	203176	191938	395114
"2003"	"36"	187959	173881	361840
"2003"	"37"	206006	194146	400152
"2003"	"38"	192761	179806	372567
"2003"	"39"	175890	166289	342179
"2003"	"40"	207235	198870	406105
"2003"	"41"	140570	135229	275799
"2003"	"42"	183407	182645	366052
"2003"	"43"	156844	147275	304119
"2003"	"44"	146151	143833	289984
"2003"	"45"	154931	147294	302225
"2003"	"46"	134272	128225	262497
"2003"	"47"	150906	148387	299293
"2003"	"48"	139487	133009	272496
"2003"	"49"	119966	114908	234874
"2003"	"50"	145963	135398	281361
"2003"	"51"	94557	90384	184941
"2003"	"52"	125015	121582	246597
"2003"	"53"	113873	108333	222206
"2003"	"54"	112207	105335	217542
"2003"	"55"	103280	97888	201168
"2003"	"56"	95276	93927	189203
"2003"	"57"	96894	94139	191033
"2003"	"58"	86139	81835	167974
"2003"	"59"	71791	70974	142765
"2003"	"60"	106872	99254	206126
"2003"	"61"	54340	56178	110518
"2003"	"62"	74752	73705	148457
"2003"	"63"	69971	67965	137936
"2003"	"64"	64856	63063	127919
"2003"	"65"	79884	75191	155075
"2003"	"66"	53700	53385	107085
"2003"	"67"	62627	62364	124991
"2003"	"68"	56774	51542	108316
"2003"	"69"	41732	42103	83835
"2003"	"70"	69271	61431	130702
"2003"	"71"	32957	34472	67429
"2003"	"72"	48922	46952	95874
"2003"	"73"	40890	39407	80297
"2003"	"74"	40486	38210	78696
"2003"	"75"	49796	45348	95144
"2003"	"76"	33357	31839	65196
"2003"	"77"	33768	33779	67547
"2003"	"78"	36101	33489	69590
"2003"	"79"	23538	22984	46522
"2003"	"80"	39294	30738	70032
"2003"	"81"	15840	15384	31224
"2003"	"82"	21267	18394	39661
"2003"	"83"	17052	14958	32010
"2003"	"84"	16352	14357	30709
"2003"	"85"	20677	15546	36223
"2003"	"86"	13449	11393	24842
"2003"	"87"	13677	11367	25044
"2003"	"88"	9282	7707	16989
"2003"	"89"	8107	6293	14400
"2003"	"90"	10163	6495	16658
"2003"	"91"	3495	2793	6288
"2003"	"92"	4434	3069	7503
"2003"	"93"	3572	2416	5988
"2003"	"94"	2912	1982	4894
"2003"	"95"	3852	2224	6076
"2003"	"96"	2334	1473	3807
"2003"	"97"	1904	1298	3202
"2003"	"98"	8278	4560	12838
"2003"	"99"	NA	NA	NA
